2014/1/2,2329
2014/1/3,2454
2014/1/6,2550
2014/1/7,2598
2014/1/8,2591
2014/1/9,2676
2014/1/10,2677
2014/1/13,2670
2014/1/14,2792
2014/1/15,2812
2014/1/16,1436
2014/1/17,1433
2014/1/20,1452
2014/1/21,1460
2014/1/22,1466
2014/1/23,1469
2014/1/24,1484
2014/1/27,1414
2014/2/5,1345
2014/2/6,1381
2014/2/7,1409
2014/2/10,1460
2014/2/11,1531
2014/2/12,1606
2014/2/13,1607
2014/2/14,1695
2014/2/17,1687
2014/2/18,1781
2014/2/19,1845
2014/2/20,1748
2014/2/21,1864
2014/2/24,1748
2014/2/25,1787
2014/2/26,1911
2014/2/27,1955
2014/3/3,1829
2014/3/4,1860
2014/3/5,1934
2014/3/6,2184
2014/3/7,2280
2014/3/10,2283
2014/3/11,2375
2014/3/12,2240
2014/3/13,2427
2014/3/14,2338
2014/3/17,2417
2014/3/18,2537
2014/3/19,2603
2014/3/20,2350
2014/3/21,2359
2014/3/24,2357
2014/3/25,2445
2014/3/26,2536
2014/3/27,2665
2014/3/28,2702
2014/3/31,2764
2014/4/1,2811
2014/4/2,2858
2014/4/3,2881
2014/4/7,2934
2014/4/8,3002
2014/4/9,3052
2014/4/10,3116
2014/4/11,3193
2014/4/14,3246
2014/4/15,3392
2014/4/16,3588
2014/4/17,1992
2014/4/18,2083
2014/4/21,2075
2014/4/22,2055
2014/4/23,2133
2014/4/24,2144
2014/4/25,2217
2014/4/28,2198
2014/4/29,2218
2014/4/30,2234
2014/5/2,2263
2014/5/5,2264
2014/5/6,2277
2014/5/7,2317
2014/5/8,2345
2014/5/9,2363
2014/5/12,2370
2014/5/13,2379
2014/5/14,2378
2014/5/15,2396
2014/5/16,2441
2014/5/19,2490
2014/5/20,2536
2014/5/21,2569
2014/5/22,2636
2014/5/23,2632
2014/5/26,2623
2014/5/27,2631
2014/5/28,2580
2014/5/29,2602
2014/5/30,2613
2014/6/3,2597
2014/6/4,2604
2014/6/5,2615
2014/6/6,2654
2014/6/9,2646
2014/6/10,2645
2014/6/11,2664
2014/6/12,2696
2014/6/13,2714
2014/6/16,2733
2014/6/17,2771
2014/6/18,2907
2014/6/19,2875
